experiment;time;requests;results;correctness
cmatch-idx;0;58;7;1
cmatch-idx;2202;44;15;0.75
cmatch-idx;317;43;3;0.15
cmatch-idx;236;39;3;0.15
cmatch-idx;570;18;4;0.2
cmatch-idx;1829;38;20;1
cmatch-idx;120530;0;0;0
cmatch-idx;2822;43;1;0.034482758620689655
cmatch-idx;1023;39;1;0.034482758620689655
cmatch-idx;119817;0;0;0
cmatch-idx;15685;38;27;0.9310344827586207
cmatch-idx;120703;0;1;1
cmatch-idx;3504;43;1;1
cmatch-idx;1379;39;1;1
cmatch-idx;119734;0;1;1
cmatch-idx;19787;38;1;1
cmatch-idx;7276;214;10;1
cmatch-idx;17772;272;10;1
cmatch-idx;11641;220;10;1
cmatch-idx;36198;446;10;1
cmatch-idx;18413;275;10;1
call-idx;120197;0;0;0
call-idx;119426;0;0;0
call-idx;126997;0;0;0
call-idx;118600;0;0;0
call-idx;118524;0;0;0
call-idx;119021;0;0;0
call-idx;119190;0;0;0
call-idx;118608;0;0;0
call-idx;118544;0;0;0
call-idx;121045;0;0;0
call-idx;0;0;0;0
call-idx;0;0;0;0
call-idx;0;0;0;0
call-idx;0;0;0;0
call-idx;0;0;0;0
call-idx;0;0;0;0
call-idx;0;0;0;0
call-idx;0;0;0;0
call-idx;0;0;0;0
call-idx;0;0;0;0
call-idx;118199;0;10;0.5
call-idx;118622;0;1;0.05
call-idx;119000;0;1;0.05
call-idx;118484;0;1;0.05
call-idx;118413;0;19;0.95
call-idx;118407;0;0;0
call-idx;118512;0;0;0
call-idx;120328;0;0;0
call-idx;121694;0;0;0
call-idx;118609;0;0;0
call-idx;118557;0;0;0
call-idx;118384;0;0;0
call-idx;125620;0;0;0
call-idx;120098;0;0;0
call-idx;118838;0;0;0
call-idx;45228;554;10;1
call-idx;30179;477;10;1
call-idx;32506;469;10;1
call-idx;65033;456;10;1
call-idx;59006;433;10;1
cnone-idx-filt;4759;42;6;0.75
cnone-idx-filt;89;14;4;0.5
cnone-idx-filt;41;11;1;0.125
cnone-idx-filt;110;13;14;1.75
cnone-idx-filt;3603;36;8;1
cnone-idx-filt;7657;44;66;0.673469387755102
cnone-idx-filt;1006;43;46;0.46938775510204084
cnone-idx-filt;635;39;32;0.32653061224489793
cnone-idx-filt;2068;18;198;2.020408163265306
cnone-idx-filt;6445;38;98;1
cnone-idx-filt;0;44;0;0
cnone-idx-filt;0;43;0;0
cnone-idx-filt;0;39;0;0
cnone-idx-filt;0;18;0;0
cnone-idx-filt;0;38;0;0
cnone-idx-filt;0;44;0;0
cnone-idx-filt;0;43;0;0
cnone-idx-filt;0;39;0;0
cnone-idx-filt;0;18;0;0
cnone-idx-filt;0;38;0;0
cnone-idx-filt;1521;44;15;0.75
cnone-idx-filt;342;43;3;0.15
cnone-idx-filt;303;39;3;0.15
cnone-idx-filt;644;18;4;0.2
cnone-idx-filt;1496;38;20;1
cnone-idx-filt;8259;44;33;1.1379310344827587
cnone-idx-filt;565;43;1;0.034482758620689655
cnone-idx-filt;410;39;1;0.034482758620689655
cnone-idx-filt;1165;18;2;0.06896551724137931
cnone-idx-filt;7396;38;27;0.9310344827586207
cnone-idx-filt;12192;44;1;1
cnone-idx-filt;727;43;1;1
cnone-idx-filt;411;39;1;1
cnone-idx-filt;1295;18;1;1
cnone-idx-filt;9625;38;1;1
cnone-idx-filt;708;44;0;0
cnone-idx-filt;411;43;10;1
cnone-idx-filt;714;39;10;1
cnone-idx-filt;966;18;0;0
cnone-idx-filt;1483;38;10;1
cmatch-idx-filt;10262;42;6;0.75
cmatch-idx-filt;188;14;4;0.5
cmatch-idx-filt;41;11;1;0.125
cmatch-idx-filt;176;13;14;1.75
cmatch-idx-filt;4441;36;8;1
cmatch-idx-filt;8757;44;66;0.673469387755102
cmatch-idx-filt;1142;43;46;0.46938775510204084
cmatch-idx-filt;739;39;32;0.32653061224489793
cmatch-idx-filt;2387;18;198;2.020408163265306
cmatch-idx-filt;7336;38;98;1
cmatch-idx-filt;6;170;71;0.5
cmatch-idx-filt;6;171;67;0.47183098591549294
cmatch-idx-filt;5;123;55;0.3873239436619718
cmatch-idx-filt;20;224;203;1.4295774647887325
cmatch-idx-filt;12;189;142;1
cmatch-idx-filt;0;60;5;0.7142857142857143
cmatch-idx-filt;0;47;3;0.42857142857142855
cmatch-idx-filt;0;43;3;0.42857142857142855
cmatch-idx-filt;0;23;3;0.42857142857142855
cmatch-idx-filt;0;58;7;1
cmatch-idx-filt;1771;44;15;0.75
cmatch-idx-filt;479;43;3;0.15
cmatch-idx-filt;310;39;3;0.15
cmatch-idx-filt;755;18;4;0.2
cmatch-idx-filt;1504;38;20;1
cmatch-idx-filt;120583;0;0;0
cmatch-idx-filt;2631;43;1;0.034482758620689655
cmatch-idx-filt;1083;39;1;0.034482758620689655
cmatch-idx-filt;119785;0;0;0
cmatch-idx-filt;16232;38;27;0.9310344827586207
cmatch-idx-filt;120632;0;1;1
cmatch-idx-filt;3706;43;1;1
cmatch-idx-filt;1406;39;1;1
cmatch-idx-filt;119604;0;1;1
cmatch-idx-filt;19077;38;1;1
cmatch-idx-filt;7378;214;10;1
cmatch-idx-filt;16980;272;10;1
cmatch-idx-filt;10508;183;10;1
cmatch-idx-filt;32062;385;10;1
cmatch-idx-filt;18120;275;10;1
call-idx-filt;119895;0;0;0
call-idx-filt;118588;0;0;0
call-idx-filt;118402;0;0;0
call-idx-filt;119916;0;0;0
call-idx-filt;118130;0;0;0
call-idx-filt;120325;0;0;0
call-idx-filt;119147;0;0;0
call-idx-filt;118728;0;0;0
call-idx-filt;118485;0;0;0
call-idx-filt;118806;0;0;0
call-idx-filt;0;0;0;0
call-idx-filt;0;0;0;0
call-idx-filt;0;0;0;0
call-idx-filt;0;0;0;0
call-idx-filt;0;0;0;0
call-idx-filt;0;0;0;0
call-idx-filt;0;0;0;0
call-idx-filt;0;0;0;0
call-idx-filt;0;0;0;0
call-idx-filt;0;0;0;0
call-idx-filt;118501;0;10;0.5
call-idx-filt;118235;0;1;0.05
call-idx-filt;118893;0;1;0.05
call-idx-filt;118817;0;1;0.05
call-idx-filt;118839;0;18;0.9
call-idx-filt;118118;0;0;0
call-idx-filt;118145;0;0;0
call-idx-filt;118735;0;0;0
call-idx-filt;122405;0;0;0
call-idx-filt;120536;0;0;0
call-idx-filt;118710;0;0;0
call-idx-filt;118506;0;0;0
call-idx-filt;119110;0;0;0
call-idx-filt;118523;0;0;0
call-idx-filt;118433;0;0;0
call-idx-filt;46524;481;10;1
call-idx-filt;30791;491;10;1
call-idx-filt;35913;521;10;1
call-idx-filt;79380;473;10;1
call-idx-filt;50023;444;10;1
cnone-ldp;8192;50;6;0.75
cnone-ldp;1311;49;4;0.5
cnone-ldp;794;42;1;0.125
cnone-ldp;2530;29;14;1.75
cnone-ldp;7293;44;8;1
cnone-ldp;10067;50;66;0.673469387755102
cnone-ldp;1473;49;46;0.46938775510204084
cnone-ldp;948;42;32;0.32653061224489793
cnone-ldp;3722;29;198;2.020408163265306
cnone-ldp;8916;44;98;1
cnone-ldp;0;50;0;0
cnone-ldp;0;49;0;0
cnone-ldp;0;42;0;0
cnone-ldp;0;29;0;0
cnone-ldp;0;44;0;0
cnone-ldp;0;50;0;0
cnone-ldp;0;49;0;0
cnone-ldp;0;42;0;0
cnone-ldp;0;29;0;0
cnone-ldp;0;44;0;0
cnone-ldp;1966;50;15;0.75
cnone-ldp;463;49;3;0.15
cnone-ldp;354;42;3;0.15
cnone-ldp;782;29;4;0.2
cnone-ldp;1746;44;20;1
cnone-ldp;8933;50;33;1.1379310344827587
cnone-ldp;678;49;1;0.034482758620689655
cnone-ldp;437;42;1;0.034482758620689655
cnone-ldp;1375;29;2;0.06896551724137931
cnone-ldp;7803;44;27;0.9310344827586207
cnone-ldp;10467;50;1;1
cnone-ldp;721;49;1;1
cnone-ldp;486;42;1;1
cnone-ldp;1715;29;1;1
cnone-ldp;9183;44;1;1
cnone-ldp;714;50;0;0
cnone-ldp;618;49;10;1
cnone-ldp;581;42;10;1
cnone-ldp;1583;29;0;0
cnone-ldp;1403;44;10;1
cmatch-ldp;12253;50;6;0.75
cmatch-ldp;1499;49;4;0.5
cmatch-ldp;1198;42;1;0.125
cmatch-ldp;3364;29;14;1.75
cmatch-ldp;9279;44;8;1
cmatch-ldp;12312;50;66;0.673469387755102
cmatch-ldp;1768;49;46;0.46938775510204084
cmatch-ldp;1102;42;32;0.32653061224489793
cmatch-ldp;4151;29;198;2.020408163265306
cmatch-ldp;12052;44;98;1
cmatch-ldp;5;176;71;0.5
cmatch-ldp;7;177;67;0.47183098591549294
cmatch-ldp;6;126;55;0.3873239436619718
cmatch-ldp;44;235;203;1.4295774647887325
cmatch-ldp;13;195;142;1
cmatch-ldp;0;66;5;0.7142857142857143
cmatch-ldp;0;53;3;0.42857142857142855
cmatch-ldp;0;46;3;0.42857142857142855
cmatch-ldp;0;34;3;0.42857142857142855
cmatch-ldp;0;64;7;1
cmatch-ldp;2452;50;15;0.75
cmatch-ldp;483;49;3;0.15
cmatch-ldp;391;42;3;0.15
cmatch-ldp;889;29;4;0.2
cmatch-ldp;1974;44;20;1
cmatch-ldp;120966;0;0;0
cmatch-ldp;3809;49;1;0.034482758620689655
cmatch-ldp;1528;42;1;0.034482758620689655
cmatch-ldp;119998;0;0;0
cmatch-ldp;18517;44;27;0.9310344827586207
cmatch-ldp;121116;0;1;1
