TypeIndex;TypeIndex-f;LDP+TypeIndex;LDP+TypeIndex-f;LDP
394;286;471;503;270
571;668;608;711;620
571;674;655;711;620
594;674;655;749;664
594;674;655;749;665
594;676;655;749;665
600;683;667;749;665
600;683;667;754;676
600;683;667;754;676
600;683;667;754;676
608;693;674;772;676
608;693;674;772;681
608;693;674;791;708
648;738;694;791;709
648;751;699;791;768
673;751;699;791;769
673;751;699;852;889
673;751;710;852;889
674;769;711;868;890
682;769;737;868;952
682;769;737;877;952
693;769;737;877;965
708;778;762;908;966
708;778;762;908;971
715;779;762;948;971
716;779;762;949;971
716;809;771;949;991
716;809;772;949;992
728;809;772;954;1002
729;809;772;954;1031
729;819;782;955;1031
729;819;782;955;1031
749;819;782;974;1031
750;819;782;974;1051
765;836;791;975;1051
765;836;792;975;1060
765;836;792;984;1060
798;836;852;1015;1061
798;849;857;1015;1061
798;853;857;1016;1071
798;889;857;1016;1071
810;893;857;1026;1084
810;893;861;1026;1084
810;893;861;1026;1084
810;893;875;1026;1094
814;901;875;1043;1094
814;901;875;1043;1105
814;904;885;1065;1105
814;904;885;1071;1114
825;953;885;1072;1115
881;982;895;1072;1115
881;982;895;1072;1115
881;982;905;1093;1162
881;982;950;1093;1168
891;993;950;1093;1168
891;993;950;1094;1168
891;993;961;1103;1179
896;993;961;1103;1184
896;997;961;1144;1184
920;997;984;1144;1184
924;1035;984;1144;1195
946;1066;997;1169;1195
946;1066;997;1169;1221
946;1066;997;1169;1222
947;1066;1035;1169;1222
959;1077;1035;1179;1272
960;1077;1035;1180;1272
974;1077;1035;1180;1284
974;1077;1048;1203;1284
983;1089;1048;1203;1284
1000;1090;1074;1203;1284
1005;1095;1074;1204;1294
1011;1095;1074;1212;1294
1012;1135;1075;1231;1320
1012;1135;1086;1231;1320
1012;1135;1086;1231;1320
1023;1135;1098;1231;1331
1023;1152;1099;1251;1331
1057;1152;1099;1251;1356
1057;1152;1113;1266;1356
1090;1152;1118;1266;1356
1091;1164;1118;1289;1370
1091;1164;1118;1289;1370
1102;1164;1118;1289;1371
1103;1203;1152;1289;1385
1103;1203;1152;1299;1385
1103;1203;1173;1299;1410
1113;1203;1173;1299;1410
1113;1215;1174;1300;1410
1113;1215;1191;1310;1410
1118;1216;1192;1318;1435
1136;1216;1206;1349;1435
1159;1245;1206;1349;1436
1160;1245;1220;1349;1467
1160;1245;1220;1364;1467
1160;1285;1220;1364;1467
1169;1285;1275;1364;1479
1169;1285;1282;1364;1480
1169;1285;1282;1377;1495
1194;1296;1282;1377;1495
1195;1296;1297;1397;1507
1195;1296;1297;1404;1507
1221;1297;1298;1423;1519
1221;1308;1347;1423;1519
1221;1308;1347;1452;1556
1221;1308;1359;1453;1556
1244;1358;1359;1468;1556
1244;1373;1385;1468;1571
1260;1374;1385;1495;1577
1261;1374;1400;1495;1577
1288;1374;1400;1495;1577
1288;1379;1400;1495;1590
1303;1379;1400;1496;1590
1303;1379;1411;1496;1620
1317;1380;1411;1509;1651
1317;1390;1447;1509;1660
1317;1390;1447;1557;1660
1361;1418;1466;1564;1675
1361;1453;1466;1587;1675
1361;1453;1480;1587;1692
1374;1453;1480;1587;1692
1374;1453;1494;1600;1692
1387;1464;1494;1600;1706
1387;1464;1494;1662;1706
1414;1464;1547;1662;1721
1414;1464;1557;1662;1721
1414;1477;1557;1662;1764
1414;1477;1573;1674;1764
1445;1503;1573;1674;1764
1445;1538;1573;1701;1779
1461;1538;1588;1701;1779
1461;1538;1588;1715;1795
1461;1538;1604;1715;1795
1490;1554;1615;1731;1811
1490;1554;1615;1732;1811
1491;1554;1640;1732;1866
1515;1554;1640;1732;1866
1515;1574;1656;1770;1882
1515;1574;1656;1770;1882
1562;1594;1691;1787;1882
1562;1594;1691;1788;1907
1578;1661;1706;1844;1907
1578;1661;1707;1844;1926
1595;1661;1707;1845;1926
1595;1661;1749;1845;1966
1609;1668;1749;1873;1966
1612;1668;1766;1873;1986
1612;1672;1766;1894;1986
1612;1672;1785;1894;2000
1616;1672;1785;1915;2003
1616;1678;1827;1915;2026
1623;1678;1827;1951;2026
1623;1688;1837;1953;2026
1625;1688;1837;1963;2026
1629;1688;1862;1969;2026
1630;1688;1862;1971;2026
1630;1689;1875;1972;2029
1631;1689;1875;1972;2029
1631;1689;1885;1976;2034
1648;1689;1886;1977;2034
1648;1690;1895;1985;2052
1655;1690;1895;1985;2052
1659;1692;1900;1988;2057
1659;1697;1900;1989;2057
1659;1697;1909;1991;2061
1660;1697;1909;1991;2061
1660;1697;1912;1995;2062
1660;1698;1912;1996;2062
1660;1698;1932;1996;2065
1664;1698;1932;1997;2065
1665;1698;1935;1997;2065
1665;1699;1935;1998;2065
1665;1699;1936;1998;2068
1667;1699;1936;1998;2068
1667;1703;1936;1998;2071
1670;1706;1937;2001;2071
1671;1706;1945;2001;2074
1671;1706;1945;2002;2075
1672;1706;1945;2004;2075
1672;1706;1945;2004;2075
1672;1707;1945;2004;2076
1672;1707;1946;2004;2076
1676;1708;1950;2008;2076
1676;1708;1951;2008;2077
1676;1708;1952;2009;2077
1676;1709;1952;2009;2077
1678;1713;1953;2009;2077
1678;1713;1953;2010;2077
1678;1714;1955;2010;2078
1680;1714;1955;2010;2079
1681;1714;1955;2010;2079
1681;1714;1955;2013;2079
1681;1714;1956;2013;2079
1681;1714;1956;2013;2080
1681;1714;1956;2013;2080
1681;1714;1956;2014;2080
1681;1714;1957;2014;2081
1681;1735;1957;2014;2081
