query;0-mean;0-minus;0-plus;1-mean;1-minus;1-plus;2-mean;2-minus;2-plus;3-mean;3-minus;3-plus;4-mean;4-minus;4-plus
D1;30.4;18.4;7.600000000000001;17.2;12.2;18.8;44.8;13.799999999999997;7.200000000000003;43.8;13.799999999999997;7.200000000000003;42.8;13.799999999999997;7.200000000000003
D2;30.4;18.4;7.600000000000001;30.4;18.4;7.600000000000001;44.8;13.799999999999997;7.200000000000003;44.8;13.799999999999997;7.200000000000003;42.8;13.799999999999997;7.200000000000003
D3;169.4;52.400000000000006;48.599999999999994;169.4;52.400000000000006;48.599999999999994;183.8;55.80000000000001;53.19999999999999;183.8;55.80000000000001;53.19999999999999;181.8;55.80000000000001;53.19999999999999
D4;40.2;23.200000000000003;13.799999999999997;40.2;23.200000000000003;13.799999999999997;54.6;18.6;13.399999999999999;54.6;18.6;13.399999999999999;52.6;18.6;13.399999999999999
D5;30.4;18.4;7.600000000000001;30.4;18.4;7.600000000000001;44.8;13.799999999999997;7.200000000000003;44.8;13.799999999999997;7.200000000000003;42.8;13.799999999999997;7.200000000000003
D6;2105.6;2073.6;3109.4;2105.6;2073.6;3109.4;2120;2076;3114;2120;2076;3114;2118;2076;3114
D7;20.4;20.4;16.6;20.4;20.4;16.6;28.2;28.2;22.8;28.2;28.2;22.8;27;27;22
D8;187.2;77.19999999999999;85.80000000000001;250.4;157.4;390.6;132.4;132.4;159.6;187.6;83.6;104.4;1147;1147;1650
