query;0-mean;0-minus;0-plus;0-first-mean;0-first-minus;0-first-plus;1-mean;1-minus;1-plus;1-first-mean;1-first-minus;1-first-plus;2-mean;2-minus;2-plus;2-first-mean;2-first-minus;2-first-plus;3-mean;3-minus;3-plus;3-first-mean;3-first-minus;3-first-plus;4-mean;4-minus;4-plus;4-first-mean;4-first-minus;4-first-plus
D1;0.42171136653895275;0.2733807699324941;0.4792191205984309;0.1318007662835249;0.08509396095602992;0.14187192118226602;0.27921912059843096;0.26790731618317826;0.520087575259989;0.08815909505564677;0.07721218755701514;0.13898923554095968;0.4399927020616676;0.27870826491516143;0.4914066776135742;0.1184090494435322;0.10399562123700054;0.17350848385331144;0.4503922641853676;0.325597518700967;0.45236270753512137;0.09622331691297208;0.08472906403940886;0.14132457580733443;0.45382229520160555;0.3485495347564313;0.5461777047983944;0.15559204524721765;0.1150884875022806;0.18905309250136837
D2;0.435211882918305;0.36203582350371344;0.3946264744429882;0.11363040629095676;0.09855832241153344;0.12402795980777631;0.44622105723023153;0.3455220620358235;0.4091743119266055;0.12450851900393185;0.08868501529051988;0.10659676714722587;0.4959370904325033;0.32774137177806906;0.3622979467016164;0.13128003494975973;0.0926168632590651;0.10615989515072084;0.4983398864132809;0.38650065530799477;0.3900393184796854;0.11354303189165574;0.09060725207514198;0.10008737439930102;0.5176933158584535;0.41153342070773263;0.48230668414154654;0.1290519877675841;0.10131061598951506;0.13328964613368285
D3;0.7412827988338192;0.3896793002915452;0.19953352769679303;0.7390087463556851;0.38915451895043734;0.2003498542274052;0.7179008746355685;0.32256559766763854;0.1631486880466472;0.7145189504373178;0.31976676384839653;0.16361516034985418;0.7439650145772595;0.3713702623906706;0.23591836734693872;0.7416909620991253;0.3699708454810496;0.23323615160349853;0.7454227405247814;0.35212827988338197;0.2545772594752186;0.7431486880466472;0.35072886297376094;0.2524781341107872;0.7579591836734695;0.3398833819241983;0.22833819241982503;0.7561516034985423;0.33895043731778424;0.22752186588921286
D4;0.3511630558722919;0.33331812998859744;0.4920524515393387;0.35114025085518813;0.3332953249714937;0.492018244013683;0.38031927023945267;0.36127708095781075;0.6196807297605473;0.38028506271379703;0.36124287343215505;0.6196579247434435;0.3872862029646522;0.3525655644241733;0.5724629418472064;0.3872519954389966;0.3525883694412771;0.572497149372862;0.3498517673888255;0.32043329532497145;0.4630330672748005;0.34977194982896237;0.3204104903078677;0.4630558722919042;0.3513683010262258;0.322405929304447;0.47132269099201823;0.3513112884834664;0.3223489167616876;0.47132269099201823
D5;0.505775075987842;0.3890577507598784;0.3082066869300912;0.14796352583586628;0.11878419452887538;0.11221884498480243;0.47112462006079026;0.32401215805471123;0.3337386018237082;0.12048632218844985;0.08826747720364742;0.11720364741641338;0.5495440729483283;0.3708206686930091;0.3574468085106383;0.16109422492401215;0.12401215805471125;0.2291793313069909;0.5219452887537994;0.31039513677811553;0.3242553191489362;0.13507598784194527;0.09617021276595744;0.1542857142857143;0.5262006079027356;0.33775075987841946;0.4737993920972644;0.17434650455927053;0.10930091185410334;0.24571428571428572
D6;0.348182330308878;0.3453776174323693;0.6350013783845334;0.010837698217688868;0.009734990591027316;0.010005873116707219;0.34054727858949313;0.33749086071124645;0.6093514401121886;0.01028394721386535;0.007227529335618655;0.008414138629526195;0.33025853699464225;0.32575181886828636;0.5650801260922199;0.009955532116359626;0.00864906329781496;0.010001078735721734;0.34832616173844255;0.34401121885150604;0.6277139192865961;0.009085351967494097;0.007778883148949431;0.009900396735026549;0.3634116815092711;0.35895290719277007;0.6365883184907288;0.010317507880763745;0.007524780956718725;0.011401037983483358
D7;0.411345221491665;0.40891279803413694;0.588654778508335;0.011778574749286046;0.01091518894866175;0.015600717274357441;0.4102361028093246;0.40708142392242813;0.586144318257289;0.01178023510659494;0.00862555621969848;0.013382479909676562;0.4120641562064156;0.40744006110114894;0.5861841668327024;0.013138407385269309;0.011378428637842863;0.016150295543600982;0.4118914790462908;0.40728398751411304;0.5853772331805804;0.011185827190011292;0.010081689579597531;0.010440326758318389;0.41298233379823335;0.4066812778109849;0.5836388390781696;0.013477120276283457;0.007176064289035001;0.013777644949193065
D8;0.0546624842139569;0.033837128773373526;0.09349411333360493;0.05229804049374669;0.03348515093494114;0.09277060333238278;0.05586670468896403;0.03627978979101316;0.11952743716136392;0.05350226096875382;0.034249399111907775;0.11877133661954617;0.24700044811993319;0.22384486902676498;0.7529995518800667;0.056756426447223694;0.03448079195013647;0.09117203731616898;0.04935185562390516;0.030001222145272333;0.09803886421966024;0.04731820589074021;0.03048519167311688;0.09813337678738746;0.09383631400985863;0.09383631400985863;0.21520348718784374;0.13462065968685924;0.09835553563911409;0.151736125256311
