TypeIndex;TypeIndex-f;LDP+TypeIndex;LDP+TypeIndex-f;LDP
205;243;194;445;411
238;246;199;450;422
385;350;337;478;512
400;606;645;487;635
439;612;686;570;635
457;626;699;613;646
543;769;844;965;765
549;807;883;973;766
576;825;902;1034;826
641;846;935;1131;912
793;1030;1180;1331;1070
799;1122;1275;1360;1088
816;1317;1531;1373;1116
943;1416;1654;1548;1264
971;1458;1711;1588;1307
978;1485;1769;1598;1317
996;1501;1781;1618;1347
1209;1615;1931;1860;1570
1280;1615;1951;1969;1677
1455;1631;1989;2210;1910
