Composite-1;Composite-5;Separate-1;Separate-5;Single-1;Single-5;Location-1;Location-5;Time-1;Time-5
881;707;106;320;984;666;463;710;106;223
882;733;486;320;984;666;872;710;107;223
882;733;486;362;984;666;872;710;107;223
883;734;550;362;991;666;883;753;132;223
896;734;558;379;991;674;883;753;365;228
896;737;559;379;991;674;883;753;365;228
896;775;559;379;991;674;883;777;457;255
896;776;575;398;1001;674;887;785;463;255
903;776;576;400;1001;679;887;785;463;258
903;786;579;401;1001;679;887;785;463;258
903;786;579;401;1001;679;954;786;468;258
903;786;580;402;1067;679;954;793;468;258
921;786;580;408;1067;690;965;811;468;261
921;794;582;408;1067;690;979;811;470;261
921;794;1091;408;1081;699;979;825;1236;261
975;794;1146;418;1081;700;979;825;1236;261
975;818;1146;420;1081;755;996;844;1236;262
975;818;1160;427;1101;755;996;844;1347;262
986;828;1268;427;1101;755;997;844;1347;267
986;828;1274;430;1101;756;997;844;1359;267
986;835;1274;434;1101;763;1007;852;1359;267
986;836;1281;435;1108;763;1012;852;1359;267
1002;845;1281;440;1108;763;1012;861;1359;407
1003;845;1306;440;1128;763;1055;865;1425;407
1003;845;1306;448;1133;784;1055;866;1438;407
1032;845;1343;448;1133;784;1055;866;1438;428
1032;874;1344;448;1133;784;1055;916;1438;428
1032;874;1409;461;1158;784;1069;916;1454;428
1033;874;1410;950;1158;803;1069;916;1454;428
1059;874;1410;950;1158;803;1069;928;1454;429
1059;890;1410;950;1158;812;1073;928;1454;994
1059;890;1446;950;1166;813;1074;928;1463;1001
1059;924;1446;951;1166;813;1082;928;1463;1006
1063;924;1458;959;1166;813;1106;936;1463;1006
1063;924;1466;959;1185;837;1106;936;1474;1012
1108;939;1475;959;1185;837;1119;936;1534;1021
1112;939;1506;959;1195;837;1119;959;1534;1028
1112;939;1506;959;1195;837;1119;965;1534;1028
1112;939;1506;964;1195;851;1124;979;1534;1073
1113;943;1522;965;1207;851;1124;979;1545;1073
1117;944;1522;970;1207;852;1177;979;1545;1090
1117;944;1522;970;1228;873;1178;979;1550;1090
1117;971;1522;970;1258;883;1178;986;1580;1105
1117;1001;1556;970;1258;883;1190;986;1586;1105
1161;1001;1568;972;1258;883;1190;986;1586;1126
1198;1001;1568;972;1258;883;1190;986;1586;1126
1198;1001;1610;1032;1268;893;1195;996;1586;1162
1198;1016;1610;1249;1268;893;1195;1009;1591;1162
1198;1016;1650;1323;1268;893;1205;1009;1591;1185
1208;1016;1650;1454;1290;893;1205;1009;1616;1186
1208;1016;1650;1533;1290;903;1216;1041;1616;1213
1208;1020;1650;1540;1301;903;1217;1041;1631;1213
1208;1020;1676;1540;1301;954;1217;1041;1631;1232
1212;1059;1676;1540;1301;954;1257;1041;1643;1232
1212;1071;1695;1616;1346;954;1257;1051;1649;1267
1212;1071;1695;1616;1366;954;1257;1051;1650;1267
1225;1071;1751;1616;1366;969;1257;1051;1650;1288
1269;1071;1765;1616;1366;969;1267;1055;1650;1288
1269;1085;1771;1640;1366;970;1268;1055;1674;1312
1269;1085;1779;1640;1455;970;1278;1055;1674;1313
1269;1085;1779;1640;1455;979;1278;1081;1686;1365
1281;1085;1779;1640;1455;979;1289;1111;1686;1365
1282;1089;1803;1678;1455;994;1297;1111;1686;1385
1282;1090;1803;1693;1563;994;1303;1111;1698;1385
1287;1090;1870;1719;1580;1015;1303;1111;1717;1405
1287;1101;1870;1719;1580;1015;1303;1126;1725;1405
1287;1121;1870;1719;1580;1015;1325;1126;1725;1420
1310;1132;1906;1734;1591;1015;1325;1126;1739;1420
1325;1132;1941;1836;1591;1048;1325;1138;1739;1435
1325;1134;1941;1864;1591;1048;1348;1138;1751;1435
1325;1134;1942;1864;1591;1048;1348;1151;1751;1469
1325;1142;1957;1865;1615;1048;1348;1174;1764;1469
1355;1142;1957;1893;1615;1056;1366;1193;1764;1509
1355;1143;1957;1893;1615;1057;1372;1193;1792;1510
1355;1143;1974;1893;1654;1057;1378;1193;1792;1510
1355;1174;1974;1893;1661;1057;1384;1193;1817;1510
1365;1174;1987;1935;1661;1107;1384;1218;1817;1527
1365;1216;1987;1935;1661;1107;1396;1218;1817;1527
1379;1226;2000;1954;1673;1107;1396;1232;1817;1574
1385;1226;2007;1962;1673;1107;1408;1232;1831;1575
1404;1226;2007;1971;1687;1118;1408;1245;1831;1588
1410;1226;2023;1971;1687;1118;1424;1266;1845;1588
1411;1238;2023;1971;1687;1118;1424;1266;1845;1603
1411;1238;2049;1971;1699;1118;1460;1266;1860;1603
1411;1238;2049;2234;1717;1142;1460;1278;1867;1603
1420;1239;2050;2243;1717;1143;1550;1278;1874;1619
1420;1246;2064;2305;1717;1150;1550;1279;1874;1619
1420;1247;2064;2305;1729;1180;1567;1279;1874;1630
1420;1309;2078;2317;1729;1180;1567;1289;1888;1630
1430;1312;2078;2317;1758;1180;1583;1289;1888;1659
1491;1312;2078;2332;1758;1180;1583;1310;1910;1659
1495;1313;2094;2332;1758;1194;1595;1311;1910;1678
1495;1313;2100;2358;1758;1194;1595;1341;1928;1678
1495;1325;2100;2358;1769;1194;1655;1341;1928;1695
1496;1325;2114;2358;1769;1194;1664;1354;1956;1705
1508;1326;2144;2358;1781;1205;1664;1355;1963;1712
1508;1326;2152;2436;1855;1205;1679;1355;1963;1718
1508;1330;2160;2447;1855;1223;1680;1355;1980;1724
1508;1350;2169;2460;1855;1256;1694;1369;1980;1730
1513;1351;2176;2470;1855;1257;1694;1376;2021;1736
1513;1387;2183;2470;1868;1257;1708;1376;2021;1743
1595;1387;2204;2493;1868;1257;1708;1388;2037;1764
1595;1387;2204;2493;1868;1270;1721;1395;2037;1770
1595;1387;2204;2521;1882;1270;1721;1427;2037;1776
1595;1399;2256;2521;1882;1283;1773;1436;2051;1807
1607;1399;2256;2521;1889;1283;1773;1436;2058;1818
1607;1399;2286;2546;1889;1283;1786;1436;2084;1825
1607;1399;2286;2546;1902;1284;1786;1450;2124;1832
1622;1407;2299;2598;1902;1293;1827;1450;2124;1840
1622;1408;2299;2612;1902;1372;1827;1464;2124;1861
1628;1422;2312;2628;1915;1372;1827;1507;2141;1861
1628;1494;2312;2640;1915;1372;1827;1507;2141;1868
1681;1494;2342;2648;1962;1372;1871;1526;2155;1876
1681;1494;2342;2658;1962;1381;1871;1532;2155;1883
1681;1494;2361;2668;1963;1381;1871;1551;2155;1894
1681;1506;2361;2727;1977;1395;1871;1551;2169;1901
1694;1506;2376;2727;1984;1395;1899;1564;2176;1908
1694;1506;2376;2751;1991;1395;1899;1565;2176;1915
1694;1506;2391;2751;2000;1395;1899;1581;2192;1923
1707;1521;2391;2777;2000;1403;1899;1582;2192;1930
1707;1521;2408;2777;2013;1440;1899;1582;2215;1937
1707;1551;2408;2813;2045;1440;1899;1596;2215;1961
1766;1552;2422;2813;2045;1469;1913;1597;2229;1970
1766;1575;2423;2856;2065;1469;1913;1623;2229;1977
1797;1575;2446;2856;2065;1469;1949;1623;2243;1984
1797;1575;2446;2856;2158;1469;1949;1653;2243;1992
1797;1576;2463;2856;2158;1485;1967;1654;2259;1999
1797;1588;2463;2900;2159;1485;1967;1654;2259;2007
1812;1588;2480;2900;2189;1485;1981;1668;2288;2018
1812;1588;2480;2917;2197;1485;1981;1668;2288;2025
1812;1594;2494;2917;2197;1495;1997;1683;2288;2033
1829;1594;2494;2960;2258;1495;1997;1683;2313;2041
1829;1594;2509;2960;2258;1510;2012;1683;2313;2049
1855;1637;2509;2960;2274;1510;2012;1709;2330;2061
1855;1638;2556;2960;2274;1545;2028;1709;2330;2068
1872;1653;2556;3004;2290;1545;2028;1740;2353;2079
1873;1653;2578;3004;2290;1545;2047;1740;2353;2086
1873;1653;2578;3010;2290;1560;2047;1756;2376;2093
1903;1653;2621;3010;2305;1560;2065;1756;2376;2101
1903;1682;2621;3025;2305;1560;2066;1756;2421;2108
1904;1682;2646;3025;2347;1560;2083;1774;2421;2115
1904;1682;2646;3043;2347;1571;2083;1775;2441;2122
1916;1692;2664;3043;2347;1571;2108;1791;2441;2134
1916;1693;2664;3058;2366;1571;2109;1791;2456;2153
1964;1723;2684;3058;2366;1603;2164;1822;2456;2165
1975;1723;2684;3073;2391;1624;2164;1823;2465;2173
1975;1739;2684;3073;2391;1643;2181;1841;2465;2181
1996;1750;2685;3099;2412;1643;2181;1841;2470;2188
1999;1750;2689;3099;2412;1644;2198;1841;2470;2196
