Composite-1;Composite-5;Separate-1;Separate-5;Single-1;Single-5;Location-1;Location-5;Time-1;Time-5
2054;1750;2689;3114;2460;1644;2198;1864;2511;2207
2054;1750;2698;3114;2460;1662;2239;1864;2511;2215
2054;1798;2698;3130;2476;1662;2239;1880;2514;2222
2072;1798;2700;3130;2476;1676;2239;1880;2514;2231
2072;1798;2700;3148;2476;1676;2239;1897;2519;2239
2072;1798;2705;3148;2489;1676;2268;1897;2519;2260
2072;1827;2705;3188;2489;1676;2268;1925;2519;2273
2119;1834;2708;3188;2497;1753;2268;1925;2525;2283
2120;1876;2708;3188;2497;1753;2268;1949;2525;2291
2120;1887;2709;3189;2502;1753;2268;1949;2528;2298
2121;1887;2709;3232;2502;1769;2271;1965;2528;2306
2122;1887;2712;3232;2510;1769;2271;1965;2531;2314
2122;1887;2712;3232;2510;1769;2275;2009;2531;2325
2122;1904;2715;3232;2547;1769;2276;2009;2535;2362
2124;1905;2715;3276;2549;1784;2280;2028;2535;2372
2124;1905;2716;3276;2549;1784;2280;2028;2539;2379
2124;1905;2716;3276;2551;1792;2282;2045;2539;2387
2124;1918;2716;3276;2553;1793;2282;2045;2541;2395
2125;1987;2718;3294;2555;1836;2284;2063;2541;2407
2129;1997;2718;3294;2557;1883;2285;2063;2542;2416
2129;2003;2719;3315;2561;1883;2287;2080;2542;2424
2129;2003;2720;3315;2561;1883;2287;2080;2542;2433
2129;2003;2720;3334;2562;1900;2287;2112;2548;2442
2156;2003;2720;3334;2563;1900;2287;2112;2549;2459
2156;2019;2742;3351;2563;1900;2291;2133;2550;2472
2157;2019;2744;3351;2564;1900;2291;2133;2550;2481
2161;2019;2745;3367;2566;1913;2293;2149;2550;2490
2161;2019;2745;3367;2566;1914;2293;2149;2554;2499
2163;2028;2749;3388;2566;1914;2296;2164;2554;2508
2163;2028;2749;3388;2569;1921;2296;2164;2554;2517
2169;2095;2749;3409;2571;1941;2297;2183;2554;2528
2169;2095;2753;3409;2571;1983;2297;2183;2555;2536
2170;2095;2753;3429;2572;2005;2299;2199;2555;2544
2170;2113;2753;3429;2573;2006;2299;2199;2555;2561
2171;2113;2753;3448;2574;2006;2299;2219;2555;2569
2171;2113;2754;3448;2575;2006;2300;2219;2556;2577
2171;2113;2754;3465;2575;2012;2300;2240;2557;2589
2171;2129;2755;3465;2575;2012;2300;2240;2563;2597
2172;2129;2755;3498;2575;2012;2300;2257;2563;2606
2173;2129;2755;3498;2580;2012;2301;2258;2564;2614
2173;2137;2755;3518;2580;2025;2301;2275;2564;2622
2173;2137;2759;3518;2580;2025;2301;2275;2564;2631
2174;2210;2759;3540;2580;2065;2303;2296;2565;2643
2174;2210;2761;3540;2581;2089;2303;2296;2566;2655
2175;2210;2761;3559;2581;2089;2307;2319;2566;2663
2175;2230;2761;3559;2581;2089;2307;2319;2611;2672
2175;2230;2761;3579;2582;2089;2307;2338;2611;2680
2176;2230;2761;3579;2582;2102;2308;2338;2612;2689
2176;2249;2761;3611;2582;2103;2308;2360;2612;2701
;2249;;3611;;2103;;2360;;2709
;2249;;3630;;2103;;2380;;2718
;2249;;3630;;2119;;2380;;2727
;2257;;3653;;2119;;2399;;2735
;2290;;3653;;2141;;2399;;2744
;2316;;3675;;2184;;2426;;2766
;2316;;3675;;2184;;2426;;2775
;2337;;3712;;2184;;2445;;2783
;2337;;3712;;2184;;2445;;2792
;2337;;3738;;2198;;2467;;2801
;2337;;3738;;2198;;2467;;2813
;2354;;3764;;2217;;2485;;2821
;2354;;3764;;2217;;2486;;2830
;2354;;3795;;2217;;2513;;2839
;2381;;3795;;2217;;2513;;2856
;2381;;3812;;2224;;2554;;2868
;2450;;3812;;2240;;2554;;2877
;2450;;3828;;2308;;2563;;2886
;2450;;3828;;2308;;2563;;2895
;2492;;3844;;2308;;2588;;2904
;2492;;3845;;2346;;2588;;2918
;2492;;3845;;2346;;2625;;2932
;2519;;3845;;2346;;2625;;2947
;2519;;3845;;2346;;2653;;2963
;2532;;3850;;2366;;2653;;2981
;2532;;3850;;2366;;2674;;2993
;2532;;3853;;2377;;2675;;3003
;2552;;3853;;2377;;2695;;3016
;2577;;3856;;2412;;2695;;3027
;2577;;3856;;2412;;2738;;3035
;2588;;3859;;2412;;2738;;3054
;2588;;3859;;2412;;2738;;3060
;2594;;3861;;2417;;2738;;3067
;2594;;3861;;2417;;2782;;3071
;2605;;3862;;2417;;2782;;3074
;2605;;3863;;2438;;2810;;3076
;2605;;3863;;2438;;2810;;3087
;2605;;3863;;2438;;2814;;3088
;2605;;3864;;2442;;2814;;3090
;2611;;3864;;2444;;2818;;3090
;2614;;3865;;2452;;2818;;3096
;2614;;3865;;2452;;2822;;3096
;2614;;3866;;2452;;2822;;3099
;2616;;3868;;2452;;2824;;3099
;2616;;3870;;2453;;2824;;3105
;2617;;3870;;2453;;2825;;3105
;2617;;3893;;2453;;2825;;3105
;2620;;3894;;2453;;2826;;3105
;2620;;3894;;2454;;2827;;3105
;2622;;3894;;2454;;2827;;3106
;2622;;3894;;2459;;2827;;3106
;2622;;3895;;2459;;2828;;3106
;2622;;3895;;2459;;2828;;3109
;2622;;3895;;2459;;2829;;3109
;2622;;3896;;2459;;2829;;3109
;2623;;3896;;2460;;2830;;3110
;2623;;3897;;2460;;2830;;3110
;2623;;3897;;2463;;2832;;3110
;2625;;3903;;2464;;2840;;3110
;2626;;3903;;2464;;2840;;3111
;2626;;3903;;2464;;2840;;3111
;2626;;3903;;2464;;2840;;3112
;2626;;3905;;2466;;2840;;3112
;2627;;3905;;2466;;2840;;3112
;2627;;3905;;2466;;2840;;3112
;2627;;3905;;2466;;2841;;3112
;2627;;3906;;2466;;2841;;3112
;2627;;3907;;2466;;2841;;3112
;2627;;3907;;2466;;2841;;3113
;2627;;3907;;2466;;2841;;3113
