query;0-mean;0-minus;0-plus;0-first-mean;0-first-minus;0-first-plus;1-mean;1-minus;1-plus;1-first-mean;1-first-minus;1-first-plus;2-mean;2-minus;2-plus;2-first-mean;2-first-minus;2-first-plus;3-mean;3-minus;3-plus;3-first-mean;3-first-minus;3-first-plus;4-mean;4-minus;4-plus;4-first-mean;4-first-minus;4-first-plus;5-mean;5-minus;5-plus;5-first-mean;5-first-minus;5-first-plus;6-mean;6-minus;6-plus;6-first-mean;6-first-minus;6-first-plus;7-mean;7-minus;7-plus;7-first-mean;7-first-minus;7-first-plus;8-mean;8-minus;8-plus;8-first-mean;8-first-minus;8-first-plus;9-mean;9-minus;9-plus;9-first-mean;9-first-minus;9-first-plus
D1;2391;1880;2708;513.6;405.6;794.4;22147.2;21531.2;35773.8;1013.4;933.4;1041.6;3507.6;3014.6;5130.4;1767.2;1705.2;3768.8;13143.8;12372.8;42782.2;1510.75;1388.75;3859.25;2272.6;1906.6;2871.4;499;481;882;21121;20723;35500;1025.2;970.2;1504.8;2488.6;1892.6;3030.4;454.8;400.8;770.2;22205.8;21475.8;37624.2;1146.6;1015.5999999999999;1499.4;2729;1966;2845;693;631;893;22183.6;21616.6;34361.4;1630.2;1462.2;2024.8
D2;2259.2;1759.1999999999998;1841.8000000000002;555.4;483.4;365.6;18178.2;17538.2;26962.8;902.6;797.6;855.4;3022.6;2520.6;3039.4;280.6;217.60000000000002;543.4;21883.6;21202.6;33115.4;436.4;238.39999999999998;248.60000000000002;2274.4;1924.4;1915.6;710.8;405.79999999999995;326.20000000000005;18366.2;17965.2;26896.8;1098.6;742.5999999999999;1329.4;2295.2;1899.1999999999998;2075.8;495.2;357.2;664.8;18536.8;17996.8;28594.2;356.2;211.2;353.8;2184.8;1747.8000000000002;1769.1999999999998;386.2;333.2;833.8;13476.6;12989.6;19735.4;1204.2;1127.2;2212.8
D3;2510;1186;660;2502.8;1181.8000000000002;653.1999999999998;11320.2;9572.2;19932.8;11315.2;9570.2;19934.8;3449.4;1980.4;1521.6;3442.8;1975.8000000000002;1525.1999999999998;14479.8;13110.8;22628.2;14474.2;13108.2;22629.8;2638.2;1501.1999999999998;823.8000000000002;2633.4;1498.4;817.5999999999999;12629.6;11328.6;16222.4;12623.4;11326.4;16221.6;2574.4;1354.4;811.5999999999999;2546.4;1328.4;838.5999999999999;13343.4;11821.4;16338.6;13337.6;11817.6;16337.4;2683.4;1283.4;1054.6;2678.6;1280.6;1049.4;12375.4;10815.4;17811.6;12369.8;10812.8;17815.2
D4;6197.2;5616.2;8324.8;6196.4;5616.4;8325.6;49223.6;48473.6;70927.4;1950;1200;1747;6641;6212;9110;6640.2;6212.2;9109.8;49613.8;48921.8;70527.2;2626.6666666666665;1935.6666666666665;2273.3333333333335;6675.4;6399.4;11261.6;6675;6399;11262;49165.6;48585.6;70989.4;1877.3333333333333;1298.3333333333333;2002.6666666666667;6072.2;5763.2;8087.8;6071.2;5763.2;8087.8;49294.8;48685.8;70913.2;2030.3333333333333;1422.3333333333333;2170.666666666667;7058.8;6708.8;10433.2;7058.4;6708.4;10432.6;49425.6;48563.6;70691.4;2361;1500;2054
D5;870.2;527.2;734.8;255.2;190.2;340.8;7100.2;6646.2;11077.8;719;644;880;1612.2;1280.2;1647.8;231.4;183.4;499.6;6358;5916;17932;487;368;482;816;614;679;285.2;241.2;310.8;6960.6;6688.6;11204.4;617.2;566.2;782.8;859;627;532;94.6;17.599999999999994;12.400000000000006;6926.2;6691.2;11026.8;279.2;185.2;339.8;964.2;622.2;683.8;132.4;84.4;133.6;7121.6;6768.6;11554.4;708.8;625.8;1128.2
D6;28219.2;27870.2;48649.8;768.2;668.2;877.8;59563.2;59019.2;64626.8;3155;3027;3126;2332.8;1962.8000000000002;1952.1999999999998;1494.6;1389.6;1924.4;20736.4;20094.4;35558.6;8905.6;8623.6;11391.4;49141;48849;70905;1854.2;1563.2;1922.8;60968;60669;69684;6267.4;6063.4;10664.6;49706.4;49358.4;71389.6;2108.6;1760.6;1878.4;61445.8;61047.8;70864.2;5195.6;4947.6;6308.4;2151.2;1845.1999999999998;2416.8;738.4;616.4;786.6;20770;20251;32091;1400;1143;1555
D7;49931.2;49343.2;72181.8;1487.2;1353.2;2115.8;57488.6;56989.6;69515.4;2279;2149;3319;4608.2;4305.2;7592.8;1641.8;1528.8;2163.2;20120.4;19701.4;34159.6;6805.8;6497.8;9505.2;49547.6;49260.6;71047.4;2031.4;1745.4;2679.6;61149;60761;87398;3130;2742;7155;49495.8;49168.8;70459.2;2383.4;2057.4;2648.6;60517;60066;77166;4842.4;4399.4;6489.6;21734.2;21379.2;32334.8;803.8;665.8;917.2;45436.8;44843.8;74110.2;1098;671;1239
D8;29276.2;26472.2;88145.8;28956.6;26257.6;87538.4;8092.2;5576.2;17094.8;7943;5530;16869;1303;1049;1455;1235.8;985.8;1490.2;1184.8;1000.8;1105.2;1032;852;1190;10655;6237;18169;10387;6391;17998;13336;8325;18363;13093.6;8164.6;17968.4;9931.6;5618.6;16812.4;9741;5516;16551;14035.2;7918.200000000001;21470.8;13815.4;7820.4;21231.6;1751.6;636.5999999999999;926.4000000000001;1664.2;614.2;868.8;2369.4;1544.4;2788.6;2152.6;1980.6;2855.4
