cpu_percentage,memory,memory_percentage,received,transmitted
2.758643207321926,266473472,0.19724412450843973,3516408,85104128
1.79983814453125,272588800,0.2017707008628843,3564067,87338109
0.00039856913183279743,272474112,0.20168580860707425,3564595,87338393
0.0003545365662886195,272257024,0.20152511969429085,3564595,87338393
0,272257024,0.20152511969429085,3564595,87338393
0.0003807704527402701,272257024,0.20152511969429085,3564595,87338393
0.007809118577075099,272252928,0.2015220878280119,3565651,87339713
0,272252928,0.2015220878280119,3565651,87339713
0,272252928,0.2015220878280119,3565651,87339713
0,272252928,0.2015220878280119,3565651,87339713
0,272252928,0.2015220878280119,3565651,87339713
0,272252928,0.2015220878280119,3565651,87339713
0,272252928,0.2015220878280119,3565651,87339713
0.00036997653500195544,272252928,0.2015220878280119,3565651,87339713
0,272252928,0.2015220878280119,3565651,87339713
0,272252928,0.2015220878280119,3565651,87339713
0,272252928,0.2015220878280119,3565651,87339713
0,272252928,0.2015220878280119,3565651,87339713
0,272252928,0.2015220878280119,3565651,87339713
0,272252928,0.2015220878280119,3565651,87339713
0,272252928,0.2015220878280119,3565651,87339713
0.00035973486347447563,272252928,0.2015220878280119,3565651,87339713
0,272252928,0.2015220878280119,3565651,87339713
0,272252928,0.2015220878280119,3565651,87339713
0,272252928,0.2015220878280119,3565651,87339713
0,272252928,0.2015220878280119,3565651,87339713
0,272252928,0.2015220878280119,3565651,87339713
0,272252928,0.2015220878280119,3565651,87339713
0.7564657992859977,275783680,0.2041355565604508,3576985,87439014
0.729345,277561344,0.20545138652550704,3600736,87613864
0,277458944,0.20537558986853374,3600736,87613864
0,277434368,0.20535739867086014,3600736,87613864
2.2619798584905664,164425728,0.12170820803514297,3622786,87774580
0.252271741195093,164126720,0.12148688179678098,3630519,87824540
1.952068467356688,126738432,0.09381200640269521,3652345,88443018
0.0004621496437054632,126099456,0.09333903526318191,3652345,88443018
0.00031648732943469784,125956096,0.09323291994341931,3652345,88443018
0.0043887212073073865,125861888,0.09316318701900389,3652675,88443678
0,125861888,0.09316318701900389,3652675,88443678
0.003407597787435796,125861888,0.09316318701900389,3653005,88444338
0.7262550331901602,126627840,0.09373014601316405,3669356,89304102
0.000700056270096463,126578688,0.09369376361781688,3669356,89304102
0,126578688,0.09369376361781688,3669356,89304102
0,126578688,0.09369376361781688,3669356,89304102
0.00045621011673151754,126509056,0.09364222189107506,3669356,89304102
0.004812347512038523,126509056,0.09364222189107506,3670016,89304762
0,126509056,0.09364222189107506,3670016,89304762
0,126509056,0.09364222189107506,3670016,89304762
0,126500864,0.09363615815851718,3670016,89304762
0,126500864,0.09363615815851718,3670016,89304762
0,126423040,0.09357855269921748,3670016,89304762
0.00040241311216429696,126423040,0.09357855269921748,3670016,89304762
0,126423040,0.09357855269921748,3670016,89304762
0,126423040,0.09357855269921748,3670016,89304762
0,126423040,0.09357855269921748,3670016,89304762
0,126423040,0.09357855269921748,3670016,89304762
0,126423040,0.09357855269921748,3670016,89304762
0,126423040,0.09357855269921748,3670016,89304762
0,126423040,0.09357855269921748,3670016,89304762
1.037401684460261,124215296,0.09194437677487347,3670016,89304762
2.728606143024619,124825600,0.09239612485043425,3689550,90631326
0.2066702780016116,125214720,0.09268415214693274,3693126,90640675
0,125169664,0.09265080161786449,3693126,90640675
1.6279706024573921,125558784,0.09293882891436296,3713856,92594701
1.1196710262529834,126824448,0.09387567559455276,3737592,95419794
0.6906016011124354,126103552,0.09334206712946085,3751782,96677207
0.18618695721077655,125849600,0.0931540914201671,3757980,97545640
1.099431150652432,125579264,0.09295398824575762,3769362,98370551
0.5086938370720189,126193664,0.09340876818759733,3783498,99854844
1.1578667666798264,125104128,0.09260229175740158,3812640,102001762
1.1654255427892235,126377984,0.09354520217014924,3842364,102235757
2.1919372673267326,125767680,0.09309345409458847,3865152,102332163
0.5476660395256917,125837312,0.09314499582133029,3879312,102390534
0.35701482840236687,126365696,0.09353610657131245,3889932,102435139
1.140109438377535,128307200,0.09497321118752593,3917196,102552775
2.0378214291433148,126267392,0.0934633417806181,3940380,102646285
0.0004817665740373164,126025728,0.09328446167016115,3940512,102646356
0,125829120,0.09313893208877244,3940512,102646356
0.0003707154150197629,125829120,0.09313893208877244,3940512,102646356
0,125702144,0.09304494423412556,3940512,102646356
0.006320718515594157,125583360,0.09295702011203656,3940842,102646686
0,125583360,0.09295702011203656,3941172,102647016
0,125583360,0.09295702011203656,3941172,102647016
0,125583360,0.09295702011203656,3941172,102647016
0,125583360,0.09295702011203656,3941172,102647016
0,125583360,0.09295702011203656,3941172,102647016
0,125583360,0.09295702011203656,3941172,102647016
0,125583360,0.09295702011203656,3941172,102647016
0,125566976,0.09294489264692082,3941172,102647016
0,125566976,0.09294489264692082,3941172,102647016
0,125566976,0.09294489264692082,3941172,102647016
0,125566976,0.09294489264692082,3941172,102647016
0,125566976,0.09294489264692082,3941172,102647016
0,125566976,0.09294489264692082,3941172,102647016
0,125566976,0.09294489264692082,3941172,102647016
0,125566976,0.09294489264692082,3941172,102647016
0,125566976,0.09294489264692082,3941172,102647016
0,125566976,0.09294489264692082,3941172,102647016
0,125566976,0.09294489264692082,3941172,102647016
0,125566976,0.09294489264692082,3941172,102647016
0,125566976,0.09294489264692082,3941172,102647016
0,125566976,0.09294489264692082,3941172,102647016
0,125566976,0.09294489264692082,3941172,102647016
0,125566976,0.09294489264692082,3941172,102647016
0,125566976,0.09294489264692082,3941172,102647016
0,125566976,0.09294489264692082,3941172,102647016
0,125566976,0.09294489264692082,3941172,102647016
0,125566976,0.09294489264692082,3941172,102647016
